Name;Nennform;Dat. (Text);Datierung;Geo. Bez.;Beruf / Tätigkeit;Typ;Biographie;GND Link;Quelle EM;ID EM
Seidel <Dr.>;Dr. Seidel;1891;Datum erste Erwähnung: 1891, Korrespondenz;Tätigkeitsort: Berlin;tätig im Oberhofmarschall-Amt;Person;;;Nachweis aus dem Vorgang, E 1507/1891 (I B Afrika), DS bearb. B. Gliesman;363565
Seidel, Marie;Marie Seidel;"1943; 1927";"Datum letzte Erwähnung: 1943, Erwerbungsvorgang; Datum erste Erwähnung: 1927, Erwerbungsvorgang";Aufenthaltsort: Wien (Österreich);Veräußerin, Zeichnerin;Person;;;Nachweis aus dem Inventar V, DS bearb. B. Gliesmann und aus der Sammlerkartei, IV Ca, DS bearb. B. Gliesmann;587
Seidler, Alberto;Alberto Seidler;1890;Datum erste Erwähnung: 1890, Erwerbungsvorgang;;tätig bei der Eisenbahn (?);Person;;;aus dem HK V C, bearb. B. Gliesmann;315392
Seiffart, Ferdinand;Ferdinand Seiffart;"1852/1854; 1802 - 1877";"Datum erste Erwähnung: 1852/1854, Erwerbungsvorgang, Korrespondenz; Lebensdaten: 1802 - 1877";"Geburtsort: Nordhausen (Thüringen); Aufenthaltsort: Mexiko; Sterbeort: Nordhausen (Thüringen) [...]";Sammler, Geheimer Oberregierungsrat, Preußischer Ministerresident in Mexiko;Person;"Kurzbiographie: Preußischer Generalkonsul in Mexiko 1845-1852.
Langjähriger Leiter der Nordhäuser Loge (tätig bis ca. 1876) und berühmter Bürger der Stadt.";http://d-nb.info/gnd/1076741606;"Nachweis aus der Objektdokumentation (HK, KK) und aus den Vorgängen, DS bearb. B. Gliesmann

Baessler Archiv Bd. XXI (1973), S. 180

Hinweis: Zur Geschichte des Wissenschaftlichen Vereins zu Nordhausen unter: http://195.37.88.23/geschichte.html

Abb. und Hinweis siehe: Johannisloge ""Zur gekrönten Unschuld"" , Nordhausen unter: http://www.freimaurerloge-nordhausen.de/articles/gesch43.html

GND-Nachweis über Katalog der Deutschen Nationalbibliothek (DNB),  Lebensdaten (nur Jahresangaben), Geburts-/Sterbeort 
kein Eintrag für Lit./Werke
Quelle: Katalog der Varnhagen von Enseschen Sammlung";588
Seiner, Franz;Franz Seiner;"1905/1906,; 1912; 18.3.1874 - 1929";"Datum erste Erwähnung: 1905/1906,, Erwerbungsvorgang, Fotoaufnahmen; Datum letzte Erwähnung: 1912, Erwerbungsvorgang; Lebensdaten: 18.3.1874 - 1929";"Geburtsort: Feldbach (Steiermark, Österreich); Tätigkeitsort: Graz (Österreich); Aufenthaltsort: Oberer Sambesi [...]";Sammler, Afrikanist (Afrikaforscher), Fotograf, Schriftsteller, Journalist, Politiker;Person;"Kurzbiographie: Sohn eines Kaufmanns. Nach der Schulzeit in Graz diente er 1892–1896 beim Infanterie-Reg. 27 (ab 1897 in der Res.), war aber auch bereits journalist. tätig – er schrieb in der Folge v. a. für das Grazer „Tagblatt“ (ab 1903 auch für die „Tagespost“) – und wandte sich daneben naturwiss. Studien zu. 1899 in Cilli (Celje) als Führer der dt. Jungmannschaft in Krawalle mit Angehörigen des nationalist. Vereins „Sokol“ verwickelt, flüchtete er nach Neapel und Amsterdam und begab sich Ende des Jahres als Kriegsberichterstatter und Freiwilliger nach Südafrika, wo er – u. a. im österr. Freiwilligenkorps Goldegg – an zahlreichen Gefechten des Burenkriegs teilnahm. Im November 1900 kehrte er in seine Heimat zurück, wo in der Zwischenzeit das Verfahren gegen ihn eingestellt worden war. 1902 ging S., dessen „Ernste und heitere Erinnerungen eines deutschen Burenkämpfers“ (2 Bde., 1902) eine nicht unergiebige Quelle für die Kriegsteilnahme von Österreichern an der Seite der Buren darstellt, nach Dt. Südwestafrika; 1903, 1905–07 und 1910–12 bereiste er, z.T. mittels Stipendien (u. a. vom dt. Kolonialamt sowie der dt. Kolonialges. in Berlin), v. a. die Kalahari, mit dem Ziel, die Landeskde. zu erforschen und kartograph. Aufnahmen zu machen. 1906 beschrieb er eine seltene Wüstenpflanze, den Pedaliaceenstrauch, der nach ihm „Sesamothanus Seinerii“ benannt wurde. Der Ausbruch des Ersten Weltkriegs verlagerte S.s Forschungen, die in einer Reihe positiv rezipierter Publ., aber auch in Vorträgen, Stiftungen an Mus. (S. verfügte über nennenswerte Smlgg. auf botan., zoolog., paläontolog. und ethnograph. Gebiet) etc. ihren Niederschlag gefunden hatten, auf Südosteuropa. 1915 Off.aspirant im Radfahrerbaon. „Graz“, wurde er 1916 zum Fronteinsatz nach Bosnien abkommandiert und im Frühjahr 1917 als prov. (Ende 1917 def.) Leiter des Statist. Landesamtes sowie als Referent für Landesstatistik und Matrikenwesen beim 19. Korpskmdo. in das 1916 von der österr.-ung. Armee besetzte Albanien berufen, wo die ordnungsgemäße Durchführung einer Volkszählung im gesamten Verwaltungsgebiet zu seinen Hauptaufgaben zählte. Deren Resultate wurden von S., entgegen der ursprüngl. Weisung, 1918 nach Österr. gebracht und im Rahmen der Akad. der Wiss. in Wien veröff. Ansonsten war S. nach Kriegsende vorwiegend polit. tätig, zuletzt als steir. Landesgeschäftsführer der Großdt. Volkspartei, zu deren Aufschwung er mit beitrug. Er war auch Gründer und Geschäftsführer der Ges. für Geopolitik und Kolonisation.";http://d-nb.info/gnd/117656208;"Nachweis aus den Inventaren I u. III Kopie, 
GND (Kalliope): Lebensdaten, ergänz. Tätigkeiten/Funktion, Geburtsort, Tätigkeitsort

DS bearb. B. Gliesmann

ergänzt aus dem Inv. III / III Kopie, bearb. E.Maluche

Biografie: 
https://www.biographien.ac.at/oebl/oebl_S/Seiner_Franz-Josef_1874_1929.xml (JF 29.11.2019)";3397
Seitz, Theodor;Theodor Seitz;"12.9.1863 - 28.3.1949; 1900; 9.5.1907 - 27.8.1910 [...]";"Lebensdaten: 12.9.1863 - 28.3.1949; Datum erste Erwähnung: 1900; Tätigkeitszeit: 9.5.1907 - 27.8.1910, Gouverneur von Kamerun [...]";"Geburtsort: Seckenheim bei Mannheim; Sterbeort: Seckenheim bei Mannheim; Studienort: Straßburg [...]";Gouverneur von Kamerun, später DSW;Person;"Kurzbiographie: Studierte Rechtswissenschaften in Straßburg, Heidelberg und Leipzig. 1889 wurde er Assessor, 1892 Amtmann in Mannheim. 1894 trat er in die Kolonialabteilung des Auswärtigen Amtes in Berlin ein. Seine ersten Auslandserfahrungen sammelte er 1895 - 1899 als Kanzler und stellv. Gouverneur von Kamerun. 1899–1907 arbeitete er erneut in der Kolonialabteilung, wo er verschiedene Stationen durchlief (1900 Legationsrat, 1902 Wirkl. Legationsrat, 1905 Geh. Legationsrat). 1907-1910 beendete S. als Nachfolger des diskreditierten Gouverneurs Jesko v. Puttkamer (1855–1917) die rücksichtslose Ausbeutung der afrikan. Arbeitskräfte, reformierte die Verwaltung, indem er u. a. den Herrschaftsbereich der dt. Offiziere energisch einschränkte, ließ das Kommunikations- und Verkehrsnetz ausbauen.
1910 als Nachfolger Bruno v. Schuckmanns (1857–1919) Leitung der Siedlungskolonie Dt.-Südwestafrika. Dort förderte er die Wirtschaft und die Erschließung der seit 1908 entdeckten Diamantenfelder, so daß er den Haushalt der Kolonie konsolidieren konnte. Nach dem Ausbruch des 1. Weltkriegs mußte S. 1915 vor der Übermacht der südafrikan. Truppen kapitulieren. Formell blieb er Gouverneur bis 1919.";http://d-nb.info/gnd/117752959;"DS bearb. B. Gliesmann

Recherche: Bildbestand der Deutschen Kolonialgesellschaft in der Universitätsbibliothek Frankfurt am Main->
http://www.ub.bildarchiv-dkg.uni-frankfurt.de/Bildprojekt, Stand: 17.4.2009

Erbar, Ralph, ""Seitz, Georg Friedrich Theodor"" in: Neue Deutsche Biographie 24 (2010), S. 207-208 [Onlinefassung]; URL: http://www.deutsche-biographie.de/ppn117752959.html, Zugriff 28.5.2015

s.a. unter http://de.wikipedia.org/wiki/Theodor_Seitz (Porträt, Literturhinweise, Links)";3399
Sekukuni;Sekukuni;1894;Datum erste Erwähnung: 1894, Erwähnung in der Korrespondenz (Aktenvorgang);Aufenthaltsort: Südafrika;"""Basuto-Häuptling""";Person;;;Nachweis aus dem Vorgang I B 13 Afrika,  E 657/1894, DS bearb. B. Gliesmann;380547
Selenka, Emil;Emil Selenka;1894;Datum erste Erwähnung: 1894, Erwerbungsvorgang;Aufenthaltsort: Erlangen;Veräußerer;Person;Kurzbiographie: Reise nach Ceylon, Ind. Archipel, Japan (1892 geplant);;Nachweis aus dem Inventar I + Vorname aus dem Vorgang E 979/1893 (I B Asien), DS bearb. B. Gliesmann;409246
Seler-Sachs, Caecilie;Caecilie Seler-Sachs;"1.6.1855 - 4.1.1935; 1900; 1907";"Lebensdaten: 1.6.1855 - 4.1.1935; Datum erste Erwähnung: 1900, Erwerbungsvorgang; Datum letzte Erwähnung: 1907, Erwerbungsvorgang";"Geburtsort: Berlin; Sterbeort: Berlin; Wohnort: Berlin [...]";Sammlerin, Ethnologin, Fotografin;Person;"Kurzbiographie: 1869 Caecilie begegnet erstmals Eduard Seler.
1884 Hochzeit mit Eduard Seler.

Sechs Reisen (gemeinsam mit ihrem Ehemann Eduard Seler) nach Mittel- und Südamerika (1887-1911), archäologische, historische und botanische Forschungsarbeiten (mehrere Pflanzenarten wurden nach C. Seler-Sachs benannt), wichtig auch ihre photographische Tätigkeit während der Expeditionen (Dokumentation archäologischer Stätten usw.).

Sept. 1887 - Mai 1888 Forschungsreisen in die USA und nach Mexiko.
September 1895 - Oktober 1897 Forschungsreisen nach Mexico und Guatemala.
Oktober 1902 - März 1903 Forschungsreise über New York (USA) nach Mexico.
September 1904 - Januar 1905 Forschungsreise nach Mexiko (Oaxaca).
August 1906 - Oktober 1907 Forschungsreise nach Mexiko, USA und Kanada.
April 1910 - Oktober 1911 Forschungsreisen nach Argentinien, Bolivien, Peru, Panama und Mexiko.

Sie wurde im Laufe der gemeinsamen Jahre selbst zur Wissenschaftlerin, war jedoch mehr ethnologisch interessiert.";http://d-nb.info/gnd/117473898;"Nachweis aus dem Inventar V, DS bearb. B. Gliesmann

biograf. Angaben: Online-Publikation des Ibero-Amerikanischen Institut, Berlin
unter http://portal.iai.spk-berlin.de/Seler-Sachs.108.0.html, Zugriff 4.3.2013/18.6.2014";386005
Seler, Eduard;Eduard Seler;"5.12.1849 - 23.11.1922; ab 1884; 1904 - 1920";"Lebensdaten: 5.12.1849 - 23.11.1922; Beschäftigungszeit: ab 1884, Amerikanische Abteilung des Museums für Völkerkunde Berlin; Beschäftigungszeit: 1904 - 1920, Sammlungsdirektor der Amerikanischen Abteilung";"Geburtsort: Crossen; Sterbeort: Berlin; Tätigkeitsort: Berlin [...]";Sammler, Alt-Amerikanist (Archäologe und Sprachforscher), Direktor oder Abteilungsleiter, Direktorial-Assistent, Geheimrat;Person;"Kurzbiographie: Gilt als Begründer der deutschen Altamerikanistik, der die Disziplin auch international entscheidend prägte. Weitere wissenschaftliche Tätigkeiten als Philologe, Ethnologe, Schwerpunkte: mexikan. Bilderhandschriften, altindian. Codices, mexikan. Mythologie u. Religion. Übersetzer aztekischer Texte.
1876 Lehrer am Dorotheenstädtischen Gymnasium Berlin.
Arbeitete seit 1884, berufen durch Adolf Bastian, als wissenschaftlicher Hilfsarbeiter am Museum für Völkerkunde in Berlin; wiss. Tätigkeit fast ausschließlich auf amerikanische Hochkulturen konzentriert, doch um Vermehrung der ""naturvölkischen"" Sammlungen bemüht*¹. Neuaufstellung der Sammlung 1886. 
Direktorialassistent seit 1892 und ab 1903 zusammen mit v.d. Steinen zum Dirigenten der Abteilung für Zentral-Amerika bestellt, v.d. Steinen betreut (bis Anf.1905) die übrigen amerikanischen Sammlungen.*² 
Im folgenden Jahr ""Abteilungsdirektor"", was auf eine Selbstständigkeit der Abteilung hindeutet. Seit 1903 untersteht im Dr. Theod. Preuss als Dir.-Ass., später auch Max Schmidt in gleicher Funktion. Weiterhin waren Theodor Koch-Grünberg zw. 1900-1909 und Wilhelm Kissenberth 1908 als wiss. Hilfsarbeiter bzw. Volontäre für die Sammlung tätig und somit unter seiner Leitung.*³ Die amerikanische Abteilung leitet er bis 1920. 
1894 Privatdozent und 1899 zum ausserordentlicher Professor für amerikanische Sprachen, Völkerkunde und Altertumsforschung an der Friedrich-Wilhelm-Universität Berlin ernannt.

Unternahm sechs Amerikareisen (Auflistung mit Ortsangaben in Lehmann 1922 bzw. Anders 1967, pp 16s), linguistische Dokumentationen (38 indigene Sprachen der Amerikas), archäologische Sammlungen (mit Cäcilie Seler-Sachs).

Seit 1908 ordentliches Mitglied der Berlin-Brandenburgischen Akademie der Wissenschaften.
Förderer Herzog von Loubat (Codices-Editionen, Reisekosten). 1910-11 war er Direktor des Internationalen Archäologischen Instituts in Mexiko. 
Im Protokoll der Sachverst.-Komission, Abt. Amerika (Mitglied und oft Vorsitz) ab 1915 als Geh. Reg.Rat geführt. 

Zu Selers Schülern gehörten: Preuss, Beyer, Lehmann, Krickeberg
Verheiratet mit Cäcilie Sachs (1855-1935).";http://d-nb.info/gnd/119126788;"Personalia R-S; *¹ Horst Hartmann in Baessler Archiv Bd. XXI (1973), S. 226
*² E 1191/1902 (Ia, Bd. 4): Bestallung Seler, v.d. Steinen zu Dirigenten+ lt. Einträge im Bürojournal

*³ Günther Hartmann in: ZfE, Bd. 100, Verl. Albert Limbach Braunschweig 1975, S. 307/308

http://www.univie.ac.at/meso/biobiblio.htm#SELER
http://bibliothek.bbaw.de/kataloge/literaturnachweise/seler/literatur.pdf
* http://www.luise-berlin.de/strassen/Bez12a/S709.htm
(histor. Adresse), 

DS bearb. B. Gliesmann, L.Rütz";590
Seler, Eduard und Caecilie;Eduard und Caecilie Seler;1905;Erste Erwähnung: 1905, Erwerbungsvorgang;"Aufenthaltsort: Berlin; Aufenthaltsort: Mexiko; Aufenthaltsort: Guatemala [...]";Sammler/Sammlerin;Person;;;Nachweis aus dem Inventar V, DS bearb. A. Beyer, DS bearb. B. Gliesmann;591
Seligmann, Charles Gabriel;Charles Gabriel Seligmann;"1905 - 1906; 1873 - 1940";"Datum erste Erwähnung: 1905 - 1906, Erwerbungsvorgang; Lebensdaten: 1873 - 1940";"Geburtsort: London (Großbritannien); Sammelgebiet: Woodlark-Insel";Sammler, Pathologe, Spezialist für Tropenkrankheiten;Person;"Kurzbiographie: Teilnahme an der Cambridge Torres Strait Expedition 1898.
Leiter einer Melanesien-Expedition (1904/05), finanziert durch den Amerikaner Major Cook-Daniels.

Mit der Ehefrau Brenda mehrere Forschungsreisen nach Sri Lanka (1907-08) und Sudan (1909-10, 1911-12, 1921-22), sowie archäologische Untersuchungen in Ägypten (1909, 1913-14). 
Brenda Seligmann macht Feld- und Sprachforschungen. Während der Arbeit im Sudan lernt Sie Arabisch. Ihr Interesse richtet sich vornehmlich auf die Verwandtschaftsverhältnisse und das Leben der Frauen und Kinder. Auf Sri Lanka beobachtet Sie zudem Rituale und Zeremonien der Frauen, zu denen Männer keinen Zutritt haben. Chales Seligmann konzentriert sich in seiner Arbeit auf die physische Anthropologie und materielle Kultur. Jedoch besitz auch er starkes Interesse an Magie und Religion.";;"Nachweis aus dem Inventar IV, bearb. E. Maluche, DS erg. B. Gliesmann

This Ingenious and Singular Apparatus
Gerry Barton, Stefan Dietrich - 2009/2010 - Crafts & Hobbies, S. 139
Online Ressource: http://books.google.de
genutzte Quelle: Seligmann&Strong 1906; Gosden&Larson&Petch 2007, S. 179 ff.; Larson 2005; Haddon 1934; Denoon 1990

Online-Publikation:
Charles Gabriel Seligman and Brenda Zara Seligman
Pitt Rivers Museum, University of Oxford 2006
Ressource unter: http://history.prm.ox.ac.uk/collector_seligman.html, Zugriff 19.6.2012
+ mit Portaitzeichnung und Bibliogr.";371533
Seligmann, R.;R. Seligmann;1897;Datum erste Erwähnung: 1897, Erwerbungsvorgang;Wohnort: Berlin (?);Veräußerer;Person;;;Nachweis aus dem Inventar I, Ds bearb. B. Gliesmann;113754
Semikore;Semikore;1901;Datum erste Erwähnung: 1901, Erwähnt im Bericht;;;Person;;;Nachweis aus dem Vorgang E 1228/1901 (I B 25 Afrika), DS bearb. B. Gliesmann;407961
Seminar für Orientalische Sprachen;Seminar für Orientalische Sprachen;1927;Datum erste Erwähnung: 1927, Erwerbungsvorgang;;Veräußerer;Sozietät;;;Nachweis aus dem Vorgang E 1204/1927 (I B Asien), DS angel. B. Gliesmann;407577
Senfft, Arno;Arno Senfft;"28.3.1864 - 14.2.1909; 1899; 1905/1907 [...]";"Lebensdaten: 28.3.1864 - 14.2.1909; Datum erste Erwähnung: 1899, Erwerbungsvorgang; Datum letzte Erwähnung: 1905/1907, Erwerbungsvorgang [...]";"Geburtsort: Weimar in Thüringen; Sterbeort: Hong Kong; Tätigkeitsort: Berlin [...]";Tätigkeit: Sammler, Jurist, Kaiserlicher Bezirksamtmann;Person;"Kurzbiographie: Jurist in Thüringen, tätig für die Deutsche Neu-Guinea Compagnie 1891. Von K. Ribbe erwähnt als Teilnehmer einer Strafexpedition bei Herbertshöhe 1894 mit Kolbe, Mouton, Dupré und Ribbe.  Kolonialdienst in Berlin 1895. 1895 in Jaluit, Sekretär bei der Kais. Landeshauptmannschaft, (Bezirkshauptmann in Jaluit und stellv. Landeshauptmann 1894-1900.) 1899 Kaiserlicher Bezirksamtmann der West-Karolinen und Palau-Inseln. 1900-1906 mit Amtssitz auf der Insel Yap (1902 Heimaturlaub, 1906 Deutschlandaufenthalt). 1906 Regierungsrat Marshall-Inseln, später Jap, Karolinen. ""Dort verkracht er sich i.J. 1909 heftig mit Prof. Krämer, der dort mit dem Dampfer ""peiho"" erscheint um Grundlagenforschung zu treiben. Krämer bekannt für sein forderndes arrogantes Auftreten erntet bei den dortigen Beamten kein verständnis und die machen Dienst nach Vorschrift, worüber Prof. Krämert sehr wütend ist. Senfft stirbt kurz darauf im februar auf der heimreise in Hongkong."" (Baumann S. 426). 
Hausorden der Wachsamkeit des Großherzogtums Sachsen-Weimar
1901: Roter Adlerorden vierter Klasse.
1902: Ritterkreuz des Ordens der Württembergischen Krone
1902: Ritterkreuz des Ordens Karls III.";;"Nachweis aus dem Inventar IV, DS bearb. E. Maluche, bearb. B. Gliesmann

Kurzbiograf. Angaben aus: 
http://marshall.csu.edu.au/Marshalls/html/german2/admin.html 

Spennemann, Dirk H.R. (1999-2000). Administrators of the German Marshall Islands

Baumann Karl, 2002: Biographisches Handbuch Deutsch-Neuguinea.S. 426. 

Literatur zu Senfft laut Wikepedia, 20.7.2016.
Im Jahre 1900 brachte Arno Senfft ein Wörterverzeichnis der Sprachen der Marshall-Insulaner heraus. Es umfasst 183 Seiten.

Am 8. und 9. Januar 1903 hielt Arno Senfft in Koblenz und Wiesbaden Vorträge mit dem Titel: Die Karolineninsel Yap, ein Idyll in der Südsee.[6]

Senfft verfasste folgende ethnographische Schriften (Auszug):

    1900: Mitteilungen des Bezirksamtmanns Senfft über die Bewohner von Yap. In: Deutsches Kolonialblatt, Amtsblatt für die Schutzgebiete des Deutschen Reichs. Hrsg. in der Kolonialabteilung des Auswärtigen Amts Jahrgang 11, Nr. 11, S. 416-418. 1. Juni 1900
    1903: Ethnographische Beiträge über die Karolinen-Insel Yap. In: Petermanns Mitteilungen Bd. 49
    1904: A Report of a Visit to Several Island Groups of the Western Caroline Islands. In: Communiques from the German Protectorats Mittler and Son, Vol. 17, S. 192-197, Berlin
    1905: Sage über die Entstehung der Insel Yap und Rumung und der Landschaft Nimigil. In: Globus LXXXVIII, S. 139. Braunschweig
    1906: Bericht des Kaiserlichen Bezirksamtmanns Senfft über seine Rundreise durch die Westkarolinen und Palau-Inseln. In: Deutsches Kolonialblatt, Amtsblatt für die Schutzgebiete des Deutschen Reichs. Hrsg. in der Kolonialabteilung des Auswärtigen Amts. Jahrgang 17, Nr. 9, S. 281-284. 1. Mai 1906
    1907: Die Rechtssitten der Yap-Eingeborenen. Globus, Bd. 91, S. 139ff, S. 149ff, S. 171ff, Braunschweig";115304
Seo <Dr. med.>;Dr. med. Seo;1900;Datum erste Erwähnung: 1900, Erwerbungsvorgang;;Veräußerer;Person;;;Nachweis aus dem Vorgang I B Asien 722/1900 (Bürojournal), bearb. B. Gliesmann;313181
Sepik-Expedition (Kaiserin-Augusta-Fluss Expedition);Sepik-Expedition (Kaiserin-Augusta-Fluss Expedition);1912 - 1913;Existenzdaten: 1912 - 1913;"Sammelgebiet: Kolonie/""Schutzgebiet"", Deutsch-Neuguinea";Sammler;Körperschaft;"Kurzbiographie: Vom Reichskolonialamt, den Königlichen Museen und der Deutschen Kolonialgesellschaft ausgesendete Expedition zur Erforschung des Sepik (dt. veraltet: Kaiserin-Augusta-Fluss), unter Leitung des Bergassesor und Bezirksamtmann Stollé und den Ethnologen Dr. R. Thurnwald und A. Roesicke und dem Geografen W. Behrmann.
Aufnahme von Phonogrammen, geografische und geologische Untersuchungen der Tier- und Pflanzenwelt, sowie Ethnologische Sammlungen.";;100 J Bd., S. 145, DS bearb. B. Gliesmann;116340
Serzisko, Franz;Franz Serzisko;1929;Datum erste Erwähnung: 1929, Erwerbungsvorgang;Aufenthaltsort: Berlin;Veräußerer;Person;;;Nachweis aus dem Inventar V und I A, DS bearb. B. Gliesmann;355743
Sesselmann;Sesselmann;1881;Datum erste Erwähnung: 1881, Erwerbungsvorgang;Tätigkeitsort: Pará;Veräußerer, Konsul;Person;;;Nachweis aus dem Inventar I [Name überschrieben: unleserlich], Provenienzangabe aus dem Hauptkatalog V A, DS bearb. B. Gliesmann;593
Seton-Karr, Heywood Walter;Heywood Walter Seton-Karr;"1896; 1903";"Datum erste Erwähnung: 1896, Erwähnung im Erwerbungsvorgang; Datum letzte Erwähnung: 1903";"Aufenthaltsort: Wimbledon (Großbritannien); Aufenthaltsort: Stuttgart, Königliches Naturalienkabinet";Veräußerer, Geologe, Konservator;Person;;;Nachweis aus dem Inventar I, DS bearb. B. Gliesmann;109374
Seton-Karr, W.;W. Seton-Karr;"1906; 1903";"Datum letzte Erwähnung: 1906, Erwerbungsvorgang; Datum erste Erwähnung: 1903, Erwerbungsvorgänge";"England (Großbritannien); Aufenthaltsort: Wimbledon; Sammelgebiet: Indien [...]";Veräußerer;Person;;;"Nachweis aus dem Inventar I, E. Maluche
DS bearb. B. Gliesmann";396549
Sevruguin, Antoine;Antoine Sevruguin;vor 1915;Nachweiszeit: vor 1915, Zeitpunkt der Erwerbung;"Standort: Teheran; Sammelgebiet: Land, Iran";;Person;Kurzbiographie: Fotostudio in Teheran;;Nachweis aus der Objektdokumentation (Signatur auf Fotografie), DS bearb. B. Gliesmann;99813
Seyerlen, Egm.;"Egm. Seyerlen
Seyerlen";1910;Datum erste Erwähnung: 1910, Erwerbungsvorgang;Aufenthaltsort: München;Leihgeber;Person;;;Nachweis aus dem Inventar I, DS bearb. B. Gliesmann;408849
Shên, Hsüeh;Hsüeh Shên;1900;Datum erste Erwähnung: 1900, Erwerbungsvorgang;Sammelgebiet: China;Veräußerer, Lektor;Person;;;Nachweis aus dem Inventar I, DS bearb. B. Gliesmann;409042
Shimbi Shoin Ltd., Tokyo;Shimbi Shoin Ltd., Tokyo;1913;Datum erste Erwähnung: 1913, Vorgang;"Aufenthaltsort: Japan; Tätigkeitsort: Tokio";;Körperschaft;;;Nachweis aus dem Eingangsjournal zum Vorgang E 1650/1913 (I B Asien), DS bearb. B. Gliesmann;404548
Shinagawa Yajirô 品川弥二郎;Shinagawa Yajirô 品川弥二郎;"1843 - 1900; 1886";"Lebensdaten: 1843 - 1900; Datum erste Erwähnung: 1886, Erwerbungsvorgänge";"Tätigkeitsort: Tokio (Tôkyô) (Japan); Wohnort: Provinz, Chôshû (長州); Tätigkeitsort: Berlin, als Gesandter (1886)";Veräußerer, Diplomat;Person;;;"Nachweis aus dem Inventar I, DS bearb. B. Gliesmann. DS bearb. Dr. S. Nahser, 10.8.2007, erg. B. Gliesmann, 15.1.2008 (Schreibvariante und erste Erwähnung)

Berlin-Tokyo, um 2000 (Hrg. Deutsch-Japanisches Zentrum) Bonn, (2005), Daijirin.

Dieter Eisleb: Die Mäzene des Ethnologischen Museums Berlin. In:  Baessler-Archiv, Band 49, Berlin, 2003, S.132

Erwähnung auch bei:
Becker, Bert (Hg.), Georg Michaelis -Ein preußischer Jurist im Japan der Meiji-Zeit. , München (2001), S. 133";1606
Sichel;Sichel;1892;Datum erste Erwähnung: 1892, Aktenvorgang;"Aufenthaltsort: Walfisch Bay (?); Sammelgebiet: Kolonie/""Schutzgebiet"", Deutsch-Südwestafrika";Sammler;Person;;;Nachweis aus dem Vorgang I B 10 Afrika, E 1067/1892 + EJ , DS bearb. B. Gliesmann;306411
